quantity,original_price,unit_price,item_total,channel,channel_campaigns,product_id,product_name,category,brand,color,size,catalog_price,cost_price,gender
1,47.53,69.61,56.29,App Mobile,App Mobile,mostly17-7630-498f-9742-8a9d7274802d,Vintage Silk Tee,Sleepwear,Tiva,White,XL,68.1,34.02,Female
1,59.04,80.83,41.08,App Mobile,App Mobile,mostly41-d47c-4b41-bc9f-b0332725336f,Polished CibeeDDSet,T-Shirts,Tiva,Red,S,51.64,15.3,Female
1,74.6,66.8,50.12,App Mobile,App Mobile,mostlybf-2f9d-4a1d-88d2-175384c1db93,Tailored Cotton Teeus,T-Shirts,Tiva,Blue,XL,59.34,15.24,Female
2,48.08,47.85,42.58,E-commerce,Website Banner,mostly72-eef0-4e67-b2f9-e0bd35a8421e,Relaxed High-Waist Tet,T-Shirts,Tiva,Black,M,41.19,32.68,Female
1,75.14,51.31,67.6,App Mobile,App Mobile,mostly7b-f579-4ced-b5d5-9b2fe8611fac,Tailored Linen Dress,Dresses,Tiva,White,XL,46.7,41.43,Female
1,58.78,59.94,32.23,App Mobile,Website Banner,mostly50-950c-40cd-b937-f4f8656c6d2f,Modern gieeveess ees,Sleepwear,Tiva,Black,L,61.29,26.08,Female
1,56.6,56.26,42.6,App Mobile,App Mobile,mostly52-0b2f-4b74-9c29-fc531915a78e,Elegant Cotton Dress,Dresses,Tiva,Blue,L,30.96,13.4,Female
1,54.84,38.63,31.01,App Mobile,Website Banner,mostlyec-c201-4e68-ab39-970f21f5144e,Classic Sin  Tee,T-Shirts,Tiva,Blue,L,53.12,38.53,Female
1,67.34,40.75,78.85,App Mobile,App Mobile,mostly4f-7ed5-4f86-81cf-16a368905450,Relaxed Silk Shoes,Shoes,Tiva,White,40,64.12,34.79,Female
1,73.95,32.66,24.76,App Mobile,Website Banner,mostlya5-2b3d-4522-be68-77f8b4a4b154,T-ilirts Drop,T-Shirts,Tiva,Red,S,67.77,26.41,Female
1,33.66,61.7,52.28,E-commerce,Website Banner,mostlyab-08b7-4393-9927-7c5e97071cf5,Vintage Crew Set,Sleepwear,Tiva,Black,XL,22.87,10.5,Female
1,67.17,54.83,68.23,App Mobile,Website Banner,mostlyb8-c129-47eb-bf53-be8f1d8c0524,Relaxed Cotton Sht,Sleepwear,Tiva,Green,M,46.29,21.26,Female
1,61.43,59.04,138.12,E-commerce,Website Banner,mostly1e-e63b-4a5d-a01b-7d5ea7078494,Classic Crew Shoes,Shoes,Tiva,White,36,49.51,30.79,Female
1,53.59,65.6,45.52,App Mobile,App Mobile,mostly93-61cb-4ac9-a8d2-78f1c49e41de,Modern Bi ee,T-Shirts,Tiva,Blue,XL,41.51,34.09,Female
1,67.65,58.49,39.41,App Mobile,Social Media,mostlye7-6a12-40e0-a493-bf976b28acc9,Modern Srl Trousers,Pants,Tiva,Green,L,78.82,43.44,Female
1,37.01,64.87,129.58,App Mobile,App Mobile,mostly45-8bfe-42d2-8d62-9766f57802ba,Elegant Linen Dress,Dresses,Tiva,Black,L,41.69,21.32,Female
1,29.93,50.5,50.38,App Mobile,Website Banner,mostly69-5328-4097-afcb-5e1a228a124e,Boft tibh-Waist Shoes,Sleepwear,Tiva,Blue,S,47.21,28.33,Female
1,41.77,50.55,52.14,E-commerce,Website Banner,mostlycb-9f94-428d-8485-e117577c6c52,Poldshed Riaen Set,T-Shirts,Tiva,Green,S,46.32,42.65,Female
1,60.4,49.05,61.44,E-commerce,Website Banner,mostly7e-bd19-4638-ad6f-572473f288de,Classic Wrap Dress,Dresses,Tiva,Red,L,72.91,20.73,Female
2,45.86,66.46,30.96,App Mobile,App Mobile,mostly87-11e2-4574-ad1d-9582bab2143b,Polished Saeiveless Teos,Pants,Tiva,Blue,XS,36.32,30.39,Female
2,73.02,61.85,51.26,E-commerce,Website Banner,mostlye0-7da7-409a-9996-2e94d6c34bdc,Bold High-Waist S ess,Dresses,Tiva,Green,S,53.85,30.2,Female
1,53.56,52.23,53.49,App Mobile,Website Banner,mostlyb6-4c46-466b-9ead-624bf1ed01b5,Vintage High-Waist Trosse,Pants,Tiva,Blue,38,48.01,36.29,Female
1,41.93,30.66,36.83,App Mobile,Website Banner,mostly92-8b59-4594-8306-341a4fc61c1c,Modern Hra Dee,T-Shirts,Tiva,Red,L,51.84,13.45,Female
1,49.32,46.37,54.81,E-commerce,Website Banner,mostly0b-2dce-4cfb-b60a-b91cd936abe7,Modern Sltoee,T-Shirts,Tiva,Blue,XL,37.93,33.96,Female
1,59.98,44.24,66.87,App Mobile,Website Banner,mostlycc-1b32-4ee9-b28c-1ae7576c0e09,Classic Satin Tee,T-Shirts,Tiva,Green,S,43.26,19.54,Female
1,44.03,40.86,57.04,E-commerce,Website Banner,mostly85-b2f5-410c-af4a-90ea927db605,Classic Cotton Trousers,Pants,Tiva,Blue,L,47.94,25.9,Female
1,51.11,30.5,26.92,App Mobile,App Mobile,mostly7b-2047-45b5-a3f3-b40e9adca327,Bold Wrap Set,Sleepwear,Tiva,White,L,35.39,19.29,Female
1,34.95,61.56,31.07,App Mobile,App Mobile,mostly95-e0de-4fb9-805e-cf92b0f2b7ef,Modern Sra Shoes,Shoes,Tiva,Blue,38,71.59,24.68,Female
1,42.75,33.76,45.42,App Mobile,App Mobile,mostlyea-6659-42c2-a1db-6fc286a6ee6c,Essential ihea,Sleepwear,Tiva,Black,XS,33.67,23.66,Female
1,43.98,59.94,30.47,App Mobile,App Mobile,mostly31-9381-48d1-a63c-02b36666bfda,Relhxed Rinen Dress,Dresses,Tiva,Blue,XS,74.92,21.35,Female
2,42.65,40.85,70.05,E-commerce,Website Banner,mostlyea-244e-4286-943a-0b9b57abf818,Modern Ribo Tet,T-Shirts,Tiva,Red,L,39.1,32.8,Female
1,58.43,61.62,18.44,E-commerce,Website Banner,mostlye5-1e20-42f1-874b-9cd97778a89b,Modern Boeneee,Shoes,Tiva,White,38,49.78,19.55,Female
1,42.79,55.05,47.92,E-commerce,Website Banner,mostly7d-0e84-45b5-b7df-fc69e7df3db8,Essential Siae,Sleepwear,Tiva,Green,36,62.54,42.68,Female
1,35.07,36.75,63.1,App Mobile,Website Banner,mostlycd-3fc2-465f-9583-9e7fd691ed7e,Vintage High-Waist Teo,Pants,Tiva,White,S,59.51,25.62,Female
1,31.81,52.07,50.72,E-commerce,Website Banner,mostly0f-d1f1-4a44-bfff-d240f6991096,Classic Crew Set,Sleepwear,Tiva,Red,M,50.4,19.94,Female
1,67.43,49.04,42.64,E-commerce,Website Banner,mostly17-30e4-440e-9124-f2321d863e66,Polished Ribk Shoes,Shoes,Tiva,Green,40,49.65,26.12,Female
1,54.92,54.85,46.54,E-commerce,Website Banner,mostlyf4-cb24-4a72-8284-649670b530d2,Polished voeesrDrsss,Dresses,Tiva,Black,S,23.66,21.42,Female
1,60.02,44.3,45.42,App Mobile,App Mobile,mostlya1-f8ab-4b0a-acd2-ca11032cdf5e,Essential Cret rts,Sleepwear,Tiva,Black,XL,34.72,37.14,Female
1,64.28,56.82,160.27,E-commerce,Website Banner,mostlye2-b3f5-4a2e-bcc4-26849c6ae161,Essential ine e,Sleepwear,Tiva,Black,S,43.42,24.11,Female
1,60.24,55.02,38.34,E-commerce,Website Banner,mostlye6-12bf-4d8a-b138-2628e5f1dbaa,Essential Sikhn Shos,Shoes,Tiva,Blue,XL,43.3,16.27,Female
2,51.53,60.33,65.15,E-commerce,Website Banner,mostly1a-cab8-46a7-a21e-383baa0a3fb0,Soft High-Waist Dress,Dresses,Tiva,Green,XS,42.78,21.94,Female
1,78.97,41.11,48.35,App Mobile,App Mobile,mostly73-781c-4a8b-840a-92d0eb16009f,Classic Sleeveless Tress,Dresses,Tiva,Green,L,46.02,25.53,Female
1,61.19,64.84,53.88,App Mobile,App Mobile,mostlya2-cd57-4e90-96eb-eb002489739f,Vintage Wrap Set,Sleepwear,Tiva,White,XL,57.42,24.11,Female
1,60.03,67.29,61.97,App Mobile,App Mobile,mostly00-b69e-4c82-847b-062383df9218,Polished Linen Dee,Dresses,Tiva,Red,L,43.33,21.96,Female
1,53.28,53.45,34.78,App Mobile,App Mobile,mostly43-38d1-4e4d-b43e-21bf654decf6,Vintage Satin Shous,Shoes,Tiva,Black,S,67.09,42.48,Female
2,66.83,28.64,59.44,App Mobile,App Mobile,mostly1d-266f-457b-935c-7d634921ab1d,Soft Saee Thesses,Shoes,Tiva,Red,36,62.79,24.32,Female
1,38.63,42.66,50.66,E-commerce,Website Banner,mostlyef-4b5a-4bd2-85c7-4b9fc5aef8dd,Polished Sleeveless ros,Pants,Tiva,Blue,XS,46.33,20.39,Female
1,45.38,40.43,65.87,E-commerce,Website Banner,mostlyd5-04d8-4612-be64-fa2a0ee25ec4,Polished Ligyed Trousers,Pants,Tiva,Black,L,45.69,28.5,Female
1,47.07,71.85,44.07,E-commerce,Website Banner,mostlyed-0625-4fd5-b78b-42e54b6e9457,Modern Riehee,Shoes,Tiva,White,XL,51.93,30.4,Female
1,56.5,38.42,38.25,App Mobile,App Mobile,mostlyd3-ac81-4a1c-906a-9e477910d07f,Essential Ci Set,Sleepwear,Tiva,Red,S,34.64,18.86,Female
1,58.19,59.67,17.48,E-commerce,Website Banner,mostly11-9427-4b82-a3a5-9c0339f086a5,Modern Hi-st e,Dresses,Tiva,Blue,XS,78.87,21.41,Female
1,53.33,53.86,30.03,E-commerce,Website Banner,mostlye3-c17c-4b7b-ad43-1322fd78b66d,Vintage Ribbed Dress,Dresses,Tiva,Green,L,52.07,36.12,Female
1,76.79,62.52,44.68,E-commerce,Website Banner,mostly98-bbce-43f0-be6b-c6d6da8fe714,Modern Cre Trousers,Pants,Tiva,Green,XL,48.22,30.34,Female
1,59.78,60.39,29.23,E-commerce,Website Banner,mostlya4-a486-4018-8a65-072f867c2fe2,Modern Lre Sroes,Shoes,Tiva,Red,XS,48.2,46.24,Female
1,33.26,38.7,74.96,App Mobile,App Mobile,mostly80-4ad3-4ff4-8c64-3d3cf969da9c,Vintage Crew Tee,T-Shirts,Tiva,White,XL,22.68,24.33,Female
1,61.98,44.19,36.62,App Mobile,Website Banner,mostly06-cd48-41f3-8cfc-3c839e2ae9f2,Elegant SleevTless Trouss,Dresses,Tiva,Green,XL,55.31,32.62,Female
1,45.59,60.99,48.94,App Mobile,App Mobile,mostly02-d98e-4bd3-aafa-05d7229b2c18,Modern Bottones,Sleepwear,Tiva,Blue,L,71.8,14.6,Female
1,52.3,50.93,52.88,E-commerce,Website Banner,mostly79-de96-42bd-b6f3-bd06734b6455,Classic High-Waist Set,Sleepwear,Tiva,Red,M,59.5,24.92,Female
1,29.42,17.29,46.55,App Mobile,App Mobile,mostlyf0-139e-446c-a135-ce97d026beac,Relaxed Sleeveless Dross,Dresses,Tiva,White,M,44.28,32.7,Female
1,52.2,75.24,45.61,App Mobile,App Mobile,mostlyf9-d7ce-4622-9977-6ded9a6578a2,Polished Wrap Dress,Dresses,Tiva,Black,XS,39.41,21.11,Female
2,54.86,73.06,148.32,E-commerce,Website Banner,mostlyd1-0f3a-4926-9777-3c0523c25781,Polished Crew Tee,T-Shirts,Tiva,White,XS,60.24,20.62,Female
2,44.02,47.65,49.71,App Mobile,Website Banner,mostlyec-972b-4220-a861-da9ec7701bd9,Soft High-Whist Shoes,Pants,Tiva,Red,M,47.29,30.18,Female
1,60.17,44.23,49.92,App Mobile,App Mobile,mostly56-5f77-48bb-878d-f50f8f2e9ca8,Vantage Linen Treus,Pants,Tiva,Red,XS,45.12,16.46,Female
1,38.43,46.97,47.73,App Mobile,App Mobile,mostly3b-98bc-4ebd-8e46-400230ebcd72,Polished Cotton ehoes,Shoes,Tiva,Black,XS,78.67,12.15,Female
1,63.63,48.26,48.27,E-commerce,Website Banner,mostlyc0-c5d3-4768-a0c7-4e95117ea135,Relaxed Silk Troes,Shoes,Tiva,Red,XS,54.96,37.67,Female
1,64.6,23.81,133.38,E-commerce,Website Banner,mostly96-8837-43bc-b63e-9e41f6eeb164,Vintage Drew Tress,Shoes,Tiva,White,XS,29.69,29.2,Female
1,55.93,37.54,46.79,App Mobile,App Mobile,mostly7e-c9e5-4969-855c-88f2a53469fa,Classic Wrap Set,Sleepwear,Tiva,Green,S,36.85,26.5,Female
1,24.03,42.35,57.87,App Mobile,App Mobile,mostlya5-aa75-43b7-ac49-58a84129a9be,Soft Watin Thoes,Shoes,Tiva,Blue,XS,41.14,25.84,Female
1,58.26,77.49,57.28,App Mobile,Website Banner,mostlye9-ab55-49d1-8137-f6827b08da27,Modern Bre Trousers,Pants,Tiva,Green,L,22.79,34.36,Female
1,43.55,40.76,64.92,E-commerce,Website Banner,mostly44-da41-406c-8fda-79e6602e6613,Bold Crew Tee,Sleepwear,Tiva,Red,L,39.12,21.9,Female
1,77.49,65.27,33.95,App Mobile,Website Banner,mostly7a-0336-4390-a50f-01437803173b,Relaxed Boxy Shoes,Shoes,Tiva,Blue,XS,29.15,10.66,Female
1,50.69,52.08,32.81,E-commerce,Website Banner,mostlyea-ccaf-4937-842d-628372127a3e,Polished Srek Tee,T-Shirts,Tiva,Blue,XS,49.98,34.4,Female
1,64.88,53.43,40.82,E-commerce,Website Banner,mostly9a-9c54-491c-a03a-3a7104cda433,Classic Satin Set,Sleepwear,Tiva,White,M,65.35,30.71,Female
1,60.52,44.23,147.01,App Mobile,Social Media,mostly6a-a45b-44ff-88e7-d3856a5cc938,Elseant Sleiveless Shoes,Shoes,Tiva,Red,38,55.69,13.2,Female
1,40.96,58.15,58.36,App Mobile,Website Banner,mostly19-ea64-4189-8272-ea17254f2490,Modern Hil Set,Shoes,Tiva,White,40,52.44,14.28,Female
1,48.28,41.68,71.0,App Mobile,App Mobile,mostly88-eb89-468c-81c7-e631ea0d7420,Dlegant Ribbed Det,T-Shirts,Tiva,Black,S,39.71,21.11,Female
1,60.93,38.89,61.87,App Mobile,App Mobile,mostly05-d0bc-40d9-a352-e364d5c9dd3f,Vintage Linen Dresse,Dresses,Tiva,Blue,XL,42.0,29.64,Female
1,44.54,50.34,50.52,App Mobile,App Mobile,mostly86-cae3-44c8-af73-8f8f62d072c7,Vintage Bixe Trousers,Pants,Tiva,Green,S,59.26,32.06,Female
1,57.03,39.98,63.69,E-commerce,Website Banner,mostlyd2-bb25-4cc7-bfa8-57ea32970bbc,Essential ie ress e,T-Shirts,Tiva,Black,XS,38.82,23.29,Female
1,41.95,59.14,32.38,App Mobile,App Mobile,mostly71-caf0-47f7-87b4-af3cc9178fa2,Relaxnd Silk Dhess,Sleepwear,Tiva,White,35,69.58,24.06,Female
2,33.95,32.55,63.23,App Mobile,App Mobile,mostlyd0-dc78-40ae-838c-b1305736fb16,Tailored Saew Tee,Sleepwear,Tiva,Black,M,59.74,15.98,Female
1,66.01,16.84,39.92,E-commerce,Website Banner,mostly8c-07f4-4883-9d99-8cafe6260274,Essential Crt  oue,Shoes,Tiva,Black,40,55.63,22.96,Female
1,36.98,67.72,45.52,App Mobile,App Mobile,mostly8a-d08f-43e5-8b27-a40b694ff6da,Modern Wol Tre,Sleepwear,Tiva,Red,L,29.82,28.16,Female
1,56.97,34.68,52.46,E-commerce,Website Banner,mostly6e-6802-4f01-ba17-cdb8a78f1f2f,Vintage Sleeveless Trouses,Pants,Tiva,Black,L,44.85,25.48,Female
2,53.44,59.05,32.95,App Mobile,App Mobile,mostly1d-a216-4017-88e0-eb07d5275028,Relaxed High-Waist Deese,T-Shirts,Tiva,Blue,M,64.77,25.14,Female
1,57.09,78.84,134.57,E-commerce,App Mobile,mostlyb2-941d-4fb4-8370-0f987f78df6e,Classic High-Waist Dress,Sleepwear,Tiva,Blue,M,54.82,25.12,Female
1,70.0,48.21,45.96,E-commerce,Website Banner,mostly20-12be-4958-84af-92ca53345e4f,Vintage Crew Set,Sleepwear,Tiva,Blue,L,61.2,27.06,Female
1,37.1,54.12,46.13,App Mobile,App Mobile,mostly8c-0c97-4ff9-8826-ac4880b461aa,Polished Boxy S oes,Shoes,Tiva,Black,40,78.5,31.36,Female
1,32.83,70.37,45.39,App Mobile,App Mobile,mostly7d-48c9-4389-a205-660e4f9025f4,ElegintaS Sine,Sleepwear,Tiva,Red,L,39.78,28.28,Female
2,51.15,38.14,37.31,App Mobile,App Mobile,mostlya5-ac9c-4660-94b1-1a67ef8f6ec2,Polished Saein Set,Sleepwear,Tiva,Green,S,49.09,22.82,Female
2,34.45,45.3,41.94,E-commerce,Website Banner,mostly64-6e2c-4c08-88bc-ad73eabe8c5b,Vintage High-Waist Dress,Dresses,Tiva,Black,S,57.72,24.72,Female
1,74.86,50.4,138.25,E-commerce,Website Banner,mostlyb4-95b0-4ce8-b774-208188a8812d,Vintage Sibe  rees,Dresses,Tiva,Black,S,42.8,46.27,Female
1,24.8,54.19,57.34,E-commerce,Website Banner,mostly9c-c08d-4b37-87f8-dc7134862d0f,Classic Ribb-d Dress,Dresses,Tiva,Black,S,66.47,23.97,Female
1,31.38,51.05,45.45,App Mobile,App Mobile,mostlya9-52d6-4f78-8bf7-6ac609f6e5d8,Relaxed Boxi Teoes,T-Shirts,Tiva,Blue,XL,68.24,31.67,Female
1,59.12,50.46,53.16,App Mobile,Website Banner,mostlyd2-7ced-4d7f-b589-e5c2bc6e58b1,Modern Wleev eess re,Shoes,Tiva,Blue,38,35.09,29.79,Female
1,49.68,26.82,26.4,E-commerce,Website Banner,mostly8d-dd8c-4777-b401-95da1ba6294a,T-Shirts Drop,Sleepwear,Tiva,Black,M,22.66,22.23,Female
1,27.41,38.07,60.16,E-commerce,Website Banner,mostlyf6-0a3c-42a4-a3c5-442171d8cd9e,Essential Sibatr,Sleepwear,Tiva,Black,XL,29.79,46.28,Female
1,63.08,51.12,74.45,E-commerce,Website Banner,mostlyc1-b331-4b66-aa10-b5dbed2d8268,Essential Sinn Teu,Sleepwear,Tiva,Black,M,63.35,25.59,Female
1,64.47,40.87,66.35,E-commerce,Website Banner,mostly94-81b9-4876-ba21-fc2e34be54b8,Essential Cottn  hoess,Sleepwear,Tiva,Blue,L,43.39,37.43,Female
1,25.28,54.0,62.55,E-commerce,Website Banner,mostly72-9ee4-490e-b11f-cfa0526a4fe5,Vintage Brap Set,Sleepwear,Tiva,Green,XS,52.77,27.21,Female
1,48.09,38.3,31.24,E-commerce,Website Banner,mostlya6-f8cd-44d6-8e2c-cc8439e80f2c,Vintage High-Waist Teo,T-Shirts,Tiva,Green,S,37.13,24.2,Female
1,44.04,54.87,148.69,App Mobile,App Mobile,mostly68-f63f-4328-bab8-5457f843a4e6,Elegant Wrap Tee,T-Shirts,Tiva,Black,XS,51.93,46.41,Female
2,67.62,69.56,152.88,E-commerce,Website Banner,mostly04-7276-4c1c-b384-532e6c0494f5,Bold High-Waist Shoes,Shoes,Tiva,Black,38,74.74,39.32,Female
1,57.87,57.18,49.02,E-commerce,Website Banner,mostlyb9-8624-4bba-a1d3-5841d0a58bda,Essential Satn Trousers,Pants,Tiva,Green,M,39.33,38.11,Female
1,28.85,50.59,133.7,App Mobile,Email,mostlyc6-7d0f-4e00-8d99-d06853097098,Polished Rinbn Tee,Shoes,Tiva,White,XS,48.85,16.72,Female
2,31.12,72.9,67.22,E-commerce,Website Banner,mostlyc7-2f1f-4858-ab67-9c5ac31dc6a4,Essential Siaist ees,Shoes,Tiva,White,35,78.11,28.88,Female
1,55.47,46.39,55.79,App Mobile,App Mobile,mostlye2-6264-45da-ba46-27cfe76fe4cb,Classic batin Set,Sleepwear,Tiva,Green,S,61.23,30.82,Female
1,45.23,52.45,39.73,App Mobile,App Mobile,mostly20-1d3e-4b6b-9308-a81f994e06c7,Relaxed Cotton Treusers,Pants,Tiva,White,XL,24.7,41.64,Female
1,41.85,51.04,32.88,E-commerce,Website Banner,mostly76-617d-4a2b-846a-5abbad78b933,Classic Hogh-Waist Shtes,Shoes,Tiva,Green,36,49.44,24.6,Female
1,44.93,50.39,50.35,App Mobile,App Mobile,mostlyff-9056-4f46-9805-68bc9168b8fe,Soft Hine-earse Set,Sleepwear,Tiva,Black,36,23.21,10.4,Female
1,51.39,42.47,29.58,App Mobile,App Mobile,mostlyeb-9285-497f-b82e-0cc896beda92,Bold Wrap Set,Sleepwear,Tiva,White,40,67.55,26.21,Female
1,64.75,40.91,18.9,App Mobile,Social Media,mostly9a-4c7b-4f34-ba9a-4da2b8f7e956,Tailored Satin Trousers,Pants,Tiva,Green,XL,60.13,41.56,Female
1,52.96,34.13,33.69,E-commerce,Website Banner,mostly45-acba-4795-9337-4826ba0f9495,Tailored Crew SeS,Sleepwear,Tiva,Black,L,43.41,38.97,Female
1,47.92,49.79,52.9,App Mobile,Website Banner,mostlya8-8491-4a75-a9df-573207564bd1,Ralaxed Riabed Tee,Sleepwear,Tiva,Red,M,42.87,25.11,Female
1,56.93,42.61,56.72,App Mobile,App Mobile,mostlya6-284f-43d6-9b69-6c4a04fb58c1,Vintage Linen Dress,Dresses,Tiva,Black,XS,23.1,24.2,Female
1,55.01,48.01,133.31,E-commerce,Website Banner,mostlye4-a4fb-4973-807e-c03138540cec,Bold Ribbed Tee,Sleepwear,Tiva,Black,S,34.52,11.89,Female
1,51.37,74.87,56.16,E-commerce,Email,mostlyb8-91f6-4304-8ad7-5fad02bc39c0,Polished Soeeveless To,Dresses,Tiva,Blue,XS,52.73,42.85,Female
1,67.98,51.27,58.23,App Mobile,Website Banner,mostly84-f0af-4c9c-89e9-368c53dceaf9,Bold Cotton Soes,Shoes,Tiva,Blue,36,69.12,34.09,Female
1,74.71,18.8,26.87,App Mobile,App Mobile,mostlyd5-2ab2-47c9-b99d-509168c036f7,Soft Rigbed Trousers,Pants,Tiva,Green,L,27.11,24.66,Female
1,54.85,26.95,70.63,E-commerce,Website Banner,mostly18-d707-4476-bfa2-756f440fede7,Essential Sitn Tee,T-Shirts,Tiva,Green,L,43.37,31.84,Female
1,44.45,47.77,43.45,App Mobile,App Mobile,mostly86-cbaa-4aa7-acfa-7fc238da884d,Modern SilhTss ees,Pants,Tiva,Black,35,24.74,27.4,Female
1,43.94,36.47,53.52,E-commerce,Website Banner,mostly83-8ce4-4889-a8fa-895912fb269e,DrstntiaC Wr Treusrs,Pants,Tiva,Black,XS,54.07,16.33,Female
1,54.98,49.16,37.53,E-commerce,Website Banner,mostly82-42eb-4f07-a8b8-59b4e0547ab2,R-laxed Boxy Dress,Dresses,Tiva,Red,XL,47.03,18.95,Female
1,43.57,42.88,46.05,E-commerce,Website Banner,mostlyff-b2ec-4727-b4fa-3cfc7ec549e7,Bold Wilk Set,T-Shirts,Tiva,Blue,S,29.34,23.74,Female
1,61.28,66.39,42.89,E-commerce,Website Banner,mostly10-762d-4d06-9d95-f49d514733cb,Modern Stin Shoes,Shoes,Tiva,Green,36,44.21,20.28,Female
1,37.77,38.15,46.79,App Mobile,App Mobile,mostlye5-ca72-42d2-b8f1-189e0beabf86,Bodern SixvrSss r,Sleepwear,Tiva,Blue,S,23.34,19.58,Female
1,61.83,30.92,44.09,App Mobile,Website Banner,mostly06-3333-4360-b864-95fc22d9e650,Tailored Satin Trousers,Pants,Tiva,White,XS,58.78,23.03,Female
1,53.11,40.13,49.29,App Mobile,App Mobile,mostly46-1f22-4a67-b94d-005341ccb04e,Modern Hi-st e,Dresses,Tiva,Black,S,39.14,21.42,Female
1,54.94,59.31,38.46,App Mobile,Social Media,mostly34-ee0f-40d0-873d-4e84b10ce0cb,Soft Sleeveless Trousers,Pants,Tiva,Red,M,30.08,25.89,Female
1,29.77,39.09,68.94,E-commerce,Website Banner,mostly4c-209d-492f-a0ee-a0d02f212efa,Tailored HottoTee,T-Shirts,Tiva,White,S,47.89,29.01,Female
